DATA,REGIO_CODI,REGIO,AGA_CODI,AGA,SECTOR_CODI,SECTOR,ABS_CODI,ABS,SEXE_CODI,SEXE,EDAT,POBLACIO_DIANA,VACUNACIO_INICIADA,VACUNACIO_COMPLETADA
12/01/2022,6200,CAMP DE TARRAGONA,08,Baix Penedès,6258,TARRAGONÈS-BAIX PENEDÈS,357,CALAFELL,0,Home,15 a 19,800,683,657
12/01/2022,6200,CAMP DE TARRAGONA,09,Tarragonès,6258,TARRAGONÈS-BAIX PENEDÈS,242,TARRAGONA 4,0,Home,70 a 74,464,429,426
12/01/2022,7802,METROPOLITANA NORD,35,Vallès Occidental Est,7844,VALLÈS OCCIDENTAL EST,105,CERDANYOLA DEL VALLÈS 2,1,Dona,40 a 44,790,709,704
12/01/2022,6100,LLEIDA,05,Lleida,6156,LLEIDA,141,LLEIDA RURAL 1-NORD,1,Dona,55 a 59,853,785,782
12/01/2022,7802,METROPOLITANA NORD,68,Baix Vallès,7842,VALLÈS ORIENTAL,349,MOLLET DEL VALLÈS-2 OEST,0,Home,12 a 14,434,284,212
12/01/2022,6100,LLEIDA,05,Lleida,6156,LLEIDA,086,LES BORGES BLANQUES,1,Dona,35 a 39,448,365,353
12/01/2022,6700,CATALUNYA CENTRAL,59,Bages i Solsonès,6763,SOLSONÈS-BAGES-BERGUEDÀ,146,MANRESA 2,1,Dona,55 a 59,806,720,711
12/01/2022,7803,BARCELONA CIUTAT,71,Barcelona Litoral Mar,7867,BARCELONÈS NORD I MARESME,312,SANT ADRIÀ DEL BESÒS 2,0,Home,45 a 49,719,621,605
12/01/2022,7802,METROPOLITANA NORD,35,Vallès Occidental Est,7844,VALLÈS OCCIDENTAL EST,198,SABADELL 7,1,Dona,55 a 59,283,269,268
12/01/2022,7801,METROPOLITANA SUD,24,Baix Llobregat Centre i Fontsanta -L'H N,7866,BAIX LLOBREGAT CENTRE-LITORAL I L'H,116,ESPLUGUES DE LLOBREGAT 1,0,Home,65 a 69,492,459,448
12/01/2022,7803,BARCELONA CIUTAT,71,Barcelona Litoral Mar,7847,BARCELONA SANT MARTÍ,072,BARCELONA 10-B,1,Dona,40 a 44,1340,1123,1106
12/01/2022,6100,LLEIDA,05,Lleida,6156,LLEIDA,329,LLEIDA RURAL 2-SUD,0,Home,70 a 74,167,162,162
12/01/2022,7802,METROPOLITANA NORD,66,Vallès Occidental Oest,7843,VALLÈS OCCIDENTAL OEST,251,TERRASSA E,0,Home,25 a 29,1536,1247,1188
12/01/2022,6400,GIRONA,54,Ripollès,6461,GIRONA NORD,092,CAMPRODON,0,Home,15 a 19,90,73,73
12/01/2022,7802,METROPOLITANA NORD,69,Vallès Oriental Central,7842,VALLÈS ORIENTAL,285,GRANOLLERS 2 - NORD,0,Home,60 a 64,831,774,763
12/01/2022,7801,METROPOLITANA SUD,62,Garraf,7865,ALT PENEDÈS-GARRAF,317,VILANOVA I LA GELTRÚ 2,0,Home,30 a 34,619,497,470
12/01/2022,7802,METROPOLITANA NORD,33,Maresme Central,7867,BARCELONÈS NORD I MARESME,009,ARENYS DE MAR,1,Dona,70 a 74,661,622,616
12/01/2022,6300,TERRES DE L'EBRE,49,Baix Ebre,6360,TERRES DE L'EBRE,256,TORTOSA 2 - OEST,0,Home,65 a 69,611,562,557
12/01/2022,7801,METROPOLITANA SUD,61,Alt Penedès,7865,ALT PENEDÈS-GARRAF,397,VILAFRANCA DEL PENEDÈS 1,1,Dona,75 a 79,521,494,493
12/01/2022,6700,CATALUNYA CENTRAL,59,Bages i Solsonès,6763,SOLSONÈS-BAGES-BERGUEDÀ,219,SANT VICENÇ DE CASTELLET,1,Dona,25 a 29,342,281,272
12/01/2022,6300,TERRES DE L'EBRE,49,Baix Ebre,6360,TERRES DE L'EBRE,328,L'ALDEA - CAMARLES - L'AMPOLLA,1,Dona,55 a 59,358,321,319
12/01/2022,7802,METROPOLITANA NORD,66,Vallès Occidental Oest,7843,VALLÈS OCCIDENTAL OEST,249,TERRASSA C,0,Home,70 a 74,250,242,242
12/01/2022,6100,LLEIDA,05,Lleida,6156,LLEIDA,232,SERÒS,1,Dona,45 a 49,215,193,193
12/01/2022,6700,CATALUNYA CENTRAL,59,Bages i Solsonès,6763,SOLSONÈS-BAGES-BERGUEDÀ,237,SÚRIA,1,Dona,65 a 69,286,269,267
12/01/2022,7803,BARCELONA CIUTAT,71,Barcelona Litoral Mar,7847,BARCELONA SANT MARTÍ,074,BARCELONA 10-D,1,Dona,65 a 69,756,698,692
12/01/2022,7801,METROPOLITANA SUD,65,Baix Llobregat Nord,7831,BAIX LLOBREGAT NORD,149,MARTORELL,0,Home,30 a 34,899,640,609
12/01/2022,6100,LLEIDA,05,Lleida,6156,LLEIDA,181,PONTS,0,Home,50 a 54,163,148,148
12/01/2022,6700,CATALUNYA CENTRAL,22,Osona,6745,OSONA,102,CENTELLES,0,Home,30 a 34,333,260,250
12/01/2022,7801,METROPOLITANA SUD,63,Baix Llobregat Litoral i Viladecans,7866,BAIX LLOBREGAT CENTRE-LITORAL I L'H,365,CASTELLDEFELS-1,1,Dona,15 a 19,1101,977,943
12/01/2022,7801,METROPOLITANA SUD,25,L'Hospitalet Sud i el Prat de Llobregat,7866,BAIX LLOBREGAT CENTRE-LITORAL I L'H,289,L'HOSPITALET DE LLOBREGAT 2 -S.JOSEP,1,Dona,35 a 39,710,617,603
12/01/2022,7803,BARCELONA CIUTAT,71,Barcelona Litoral Mar,7847,BARCELONA SANT MARTÍ,077,BARCELONA 10-G,0,Home,45 a 49,958,851,828
12/01/2022,6300,TERRES DE L'EBRE,49,Baix Ebre,6360,TERRES DE L'EBRE,255,TORTOSA 1 - EST,0,Home,75 a 79,476,455,451
12/01/2022,6400,GIRONA,57,Gironès Nord i Pla de l'Estany,6462,GIRONA SUD,125,GIRONA 2,1,Dona,15 a 19,950,814,773
12/01/2022,7803,BARCELONA CIUTAT,47,Barcelona Nord,7855,BARCELONA SANT ANDREU,395,BARCELONA 9-H,1,Dona,65 a 69,1091,1015,1002
12/01/2022,6700,CATALUNYA CENTRAL,59,Bages i Solsonès,6763,SOLSONÈS-BAGES-BERGUEDÀ,145,MANRESA 1,1,Dona,75 a 79,521,483,483
12/01/2022,6700,CATALUNYA CENTRAL,22,Osona,6745,OSONA,350,VIC-1 NORD,0,Home,30 a 34,892,686,635
12/01/2022,6200,CAMP DE TARRAGONA,09,Tarragonès,6258,TARRAGONÈS-BAIX PENEDÈS,257,TORREDEMBARRA,1,Dona,20 a 24,942,814,794
12/01/2022,6400,GIRONA,57,Gironès Nord i Pla de l'Estany,6462,GIRONA SUD,126,GIRONA 3,0,Home,45 a 49,1475,1309,1290
12/01/2022,7802,METROPOLITANA NORD,33,Maresme Central,7867,BARCELONÈS NORD I MARESME,009,ARENYS DE MAR,0,Home,70 a 74,570,534,529
12/01/2022,7802,METROPOLITANA NORD,69,Vallès Oriental Central,7842,VALLÈS ORIENTAL,121,LA GARRIGA,1,Dona,25 a 29,705,604,598
12/01/2022,7803,BARCELONA CIUTAT,46,Barcelona Esquerra,7850,BARCELONA SARRIÀ-SANT GERVASI,043,BARCELONA 5-B,1,Dona,75 a 79,911,869,860
12/01/2022,6700,CATALUNYA CENTRAL,19,Anoia,6735,ANOIA,269,VILANOVA DEL CAMÍ,0,Home,45 a 49,640,560,553
12/01/2022,6400,GIRONA,58,Gironès Sud i Selva Interior,6462,GIRONA SUD,199,SALT,0,Home,35 a 39,1597,1218,1171
12/01/2022,7803,BARCELONA CIUTAT,47,Barcelona Nord,7854,BARCELONA NOU BARRIS,403,BARCELONA 8-L,1,Dona,35 a 39,1020,865,844
12/01/2022,7803,BARCELONA CIUTAT,46,Barcelona Esquerra,7849,BARCELONA SANTS-MONTJUÏC,034,BARCELONA 3-C,0,Home,50 a 54,579,505,500
12/01/2022,6400,GIRONA,51,Alt Empordà,6461,GIRONA NORD,189,ROSES,1,Dona,40 a 44,1309,1049,1025
12/01/2022,7801,METROPOLITANA SUD,63,Baix Llobregat Litoral i Viladecans,7866,BAIX LLOBREGAT CENTRE-LITORAL I L'H,265,VILADECANS 1,0,Home,80 o més,495,487,486
12/01/2022,7802,METROPOLITANA NORD,33,Maresme Central,7867,BARCELONÈS NORD I MARESME,335,SANT ANDREU DE LLAVANERES,0,Home,75 a 79,337,317,317
12/01/2022,7803,BARCELONA CIUTAT,46,Barcelona Esquerra,7849,BARCELONA SANTS-MONTJUÏC,383,BARCELONA 3-H,1,Dona,60 a 64,706,664,660
12/01/2022,6700,CATALUNYA CENTRAL,59,Bages i Solsonès,6763,SOLSONÈS-BAGES-BERGUEDÀ,145,MANRESA 1,1,Dona,65 a 69,532,466,459
12/01/2022,7802,METROPOLITANA NORD,66,Vallès Occidental Oest,7843,VALLÈS OCCIDENTAL OEST,356,TERRASSA-G,1,Dona,50 a 54,963,876,867
12/01/2022,7802,METROPOLITANA NORD,35,Vallès Occidental Est,7844,VALLÈS OCCIDENTAL EST,105,CERDANYOLA DEL VALLÈS 2,0,Home,45 a 49,1025,941,929
12/01/2022,6300,TERRES DE L'EBRE,49,Baix Ebre,6360,TERRES DE L'EBRE,178,L'AMETLLA DE MAR - EL PERELLÓ,1,Dona,40 a 44,346,293,289
12/01/2022,6100,LLEIDA,05,Lleida,6156,LLEIDA,086,LES BORGES BLANQUES,1,Dona,70 a 74,450,426,423
12/01/2022,7801,METROPOLITANA SUD,24,Baix Llobregat Centre i Fontsanta -L'H N,7866,BAIX LLOBREGAT CENTRE-LITORAL I L'H,214,SANT JOAN DESPÍ 2,0,Home,30 a 34,400,318,312
12/01/2022,7100,ALT PIRINEU I ARAN,04,Aran,7107,ARAN,007,ARAN,0,Home,50 a 54,414,348,346
12/01/2022,7803,BARCELONA CIUTAT,70,Barcelona Dreta,7855,BARCELONA SANT ANDREU,065,BARCELONA 9-A,0,Home,35 a 39,1233,1041,1023
12/01/2022,7803,BARCELONA CIUTAT,47,Barcelona Nord,7853,BARCELONA HORTA-GUINARDÓ,056,BARCELONA 7-F,0,Home,70 a 74,444,422,414
12/01/2022,7801,METROPOLITANA SUD,25,L'Hospitalet Sud i el Prat de Llobregat,7866,BAIX LLOBREGAT CENTRE-LITORAL I L'H,183,EL PRAT DE LLOBREGAT 2,1,Dona,30 a 34,878,735,712
12/01/2022,6100,LLEIDA,05,Lleida,6156,LLEIDA,140,LLEIDA 6,0,Home,40 a 44,720,620,604
12/01/2022,6200,CAMP DE TARRAGONA,07,Baix Camp i Priorat,6259,BAIX CAMP-PRIORAT,087,LES BORGES DEL CAMP,0,Home,80 o més,176,170,170
12/01/2022,7801,METROPOLITANA SUD,63,Baix Llobregat Litoral i Viladecans,7866,BAIX LLOBREGAT CENTRE-LITORAL I L'H,373,BEGUES,0,Home,65 a 69,172,163,160
12/01/2022,6400,GIRONA,51,Alt Empordà,6461,GIRONA NORD,189,ROSES,1,Dona,45 a 49,1410,1143,1115
12/01/2022,6400,GIRONA,55,Alt Maresme,6462,GIRONA SUD,090,CALELLA,1,Dona,75 a 79,502,480,477
12/01/2022,7801,METROPOLITANA SUD,63,Baix Llobregat Litoral i Viladecans,7866,BAIX LLOBREGAT CENTRE-LITORAL I L'H,122,GAVÀ 1,0,Home,25 a 29,509,414,392
12/01/2022,6200,CAMP DE TARRAGONA,09,Tarragonès,6258,TARRAGONÈS-BAIX PENEDÈS,364,TARRAGONA-8,1,Dona,55 a 59,560,492,485
12/01/2022,6200,CAMP DE TARRAGONA,07,Baix Camp i Priorat,6259,BAIX CAMP-PRIORAT,307,REUS 5,0,Home,80 o més,438,421,418
12/01/2022,7100,ALT PIRINEU I ARAN,01,Alt Urgell,7164,ALT PIRINEU,169,ALT URGELL-SUD,1,Dona,20 a 24,64,56,55
12/01/2022,7801,METROPOLITANA SUD,64,Baix Llobregat Litoral i Sant Boi,7866,BAIX LLOBREGAT CENTRE-LITORAL I L'H,202,SANT BOI DE LLOBREGAT 1,0,Home,80 o més,779,737,733
12/01/2022,6300,TERRES DE L'EBRE,49,Baix Ebre,6360,TERRES DE L'EBRE,255,TORTOSA 1 - EST,1,Dona,0 a 11,1175,209,23
12/01/2022,7801,METROPOLITANA SUD,24,Baix Llobregat Centre i Fontsanta -L'H N,7866,BAIX LLOBREGAT CENTRE-LITORAL I L'H,216,SANT JUST DESVERN,0,Home,35 a 39,622,554,545
12/01/2022,7803,BARCELONA CIUTAT,71,Barcelona Litoral Mar,7847,BARCELONA SANT MARTÍ,072,BARCELONA 10-B,1,Dona,25 a 29,746,575,563
12/01/2022,6100,LLEIDA,05,Lleida,6156,LLEIDA,135,LLEIDA 1,1,Dona,40 a 44,687,525,501
12/01/2022,7803,BARCELONA CIUTAT,46,Barcelona Esquerra,7849,BARCELONA SANTS-MONTJUÏC,400,BARCELONA 3-I,1,Dona,15 a 19,445,405,401
12/01/2022,7803,BARCELONA CIUTAT,71,Barcelona Litoral Mar,7847,BARCELONA SANT MARTÍ,073,BARCELONA 10-C,1,Dona,35 a 39,931,750,720
12/01/2022,6100,LLEIDA,05,Lleida,6156,LLEIDA,136,LLEIDA 2,0,Home,60 a 64,859,776,767
12/01/2022,6700,CATALUNYA CENTRAL,59,Bages i Solsonès,6763,SOLSONÈS-BAGES-BERGUEDÀ,215,SANT JOAN DE VILATORRADA,0,Home,30 a 34,294,216,206
12/01/2022,6700,CATALUNYA CENTRAL,22,Osona,6745,OSONA,185,LLUÇANÈS,0,Home,35 a 39,194,153,151
12/01/2022,7803,BARCELONA CIUTAT,71,Barcelona Litoral Mar,7846,BARCELONA CIUTAT VELLA,018,BARCELONA 1-C,0,Home,75 a 79,179,160,158
12/01/2022,7802,METROPOLITANA NORD,33,Maresme Central,7867,BARCELONÈS NORD I MARESME,152,MATARÓ 1,0,Home,40 a 44,755,671,661
12/01/2022,7803,BARCELONA CIUTAT,71,Barcelona Litoral Mar,7867,BARCELONÈS NORD I MARESME,312,SANT ADRIÀ DEL BESÒS 2,0,Home,15 a 19,466,366,347
12/01/2022,6200,CAMP DE TARRAGONA,06,Alt Camp i Conca de Barberà,6257,ALT CAMP-CONCA DE BARBERÀ,263,VALLS URBÀ,0,Home,55 a 59,1038,949,939
12/01/2022,6700,CATALUNYA CENTRAL,19,Anoia,6735,ANOIA,269,VILANOVA DEL CAMÍ,0,Home,65 a 69,311,289,287
12/01/2022,7802,METROPOLITANA NORD,66,Vallès Occidental Oest,7843,VALLÈS OCCIDENTAL OEST,399,CASTELLBISBAL,0,Home,40 a 44,408,364,355
12/01/2022,7803,BARCELONA CIUTAT,47,Barcelona Nord,7855,BARCELONA SANT ANDREU,395,BARCELONA 9-H,1,Dona,30 a 34,1013,851,839
12/01/2022,7803,BARCELONA CIUTAT,70,Barcelona Dreta,7853,BARCELONA HORTA-GUINARDÓ,326,BARCELONA 7-G,0,Home,80 o més,961,920,919
